ID2005,WTR USED NET FOR EMAIL 2005, WTR USED NET FOR SCHOOL 2005, WTR USED NET TO SHOP 2005,WTR USED NET FOR GAMES 2005,HOW OFN WRY ABT MONEY 2005,HOW OFN WRY ABT FUTURE JOB 2005,HOW OFN FEEL DISCOURAGED 2005,LIKELIHOOD OF DIVORCE 2005,AVG HRS/WK WORKED 2005,HOW OFN MSCLBLD 2005,NMBR OF HRS OF SLP IN 24HR 2005,FREQ OF SNCK INSTD OF MEAL 2005,HOW OFN HAVE DRINKS 2005,ID2007,WTR USED NET FOR EMAIL 2007,WTR USED NET FOR SCHOOL 2007,WTR USED NET TO SHOP 2007,WTR USED NET FOR GAMES 2007,HOW OFN WRY ABT MONEY 2007,HOW OFN WRY ABT FUTURE JOB 2007,HOW OFN FEEL DISCOURAGED 2007,LIKELIHOOD OF DIVORCE 2007,AVG HRS/WK WORKED 2007,HOW OFN MSCLBLD 2007,NMBR OF HRS OF SLP IN 24HR 2007,FREQ OF SNCK INSTD OF MEAL 2007,HOW OFN HAVE DRINKS 2007,FRQ ATD RELIG PAST YR 2007,ID2009,WTR USED NET FOR EMAIL 2009,WTR USED NET FOR SCHOOL 2009,WTR USED NET TO SHOP 2009,WTR USED NET FOR GAMES 2009,HOW OFN WRY ABT MONEY 2009,HOW OFN WRY ABT FUTURE JOB 2009,HOW OFN FEEL DISCOURAGED 2009,LIKELIHOOD OF DIVORCE 2009,AVG HRS/WK WORKED 2009,HOW OFN MSCLBLD 2009,NMBR OF HRS OF SLP IN 24HR 2009,FREQ OF SNCK INSTD OF MEAL 2009,HOW OFN HAVE DRINKS 2009,ID2011,WTR USED NET FOR EMAIL 2011,WTR USED NET FOR SCHOOL 2011,WTR USED NET TO SHOP 2011,WTR USED NET FOR GAMES 2011,HOW OFN WRY ABT MONEY 2011,HOW OFN WRY ABT FUTURE JOB 2011,HOW OFN FEEL DISCOURAGED 2011,LIKELIHOOD OF DIVORCE 2011,AVG HRS/WK WORKED 2011,HOW OFN MSCLBLD 2011,NMBR OF HRS OF SLP IN 24HR 2011,FREQ OF SNCK INSTD OF MEAL 2011,HOW OFN HAVE DRINKS 2011,ID2013,WTR USED NET FOR EMAIL 2013,WTR USED NET FOR SCHOOL 2013,WTR USED NET TO SHOP 2013,WTR USED NET FOR GAMES 2013,HOW OFN WRY ABT MONEY 2013,HOW OFN WRY ABT FUTURE JOB 2013,HOW OFN FEEL DISCOURAGED 2013,LIKELIHOOD OF DIVORCE 2013,AVG HRS/WK WORKED 2013,HOW OFN MSCLBLD 2013,NMBR OF HRS OF SLP IN 24HR 2013,FREQ OF SNCK INSTD OF MEAL 2013,HOW OFN HAVE DRINKS 2013,ID2015,WTR USED NET FOR EMAIL 2015,WTR USED NET FOR SCHOOL 2015,WTR USED NET TO SHOP 2015,WTR USED NET FOR GAMES 2015,HOW OFN WRY ABT MONEY 2015,HOW OFN WRY ABT FUTURE JOB 2015,HOW OFN FEEL DISCOURAGED 2015,LIKELIHOOD OF DIVORCE 2015,AVG HRS/WK WORKED 2015,HOW OFN MSCLBLD 2015,NMBR OF HRS OF SLP IN 24HR 2015,FREQ OF SNCK INSTD OF MEAL 2015,HOW OFN HAVE DRINKS 2015
523,,,,,,,,,,,,,,6742,,,,,,,,,,,,,,,3276,2,1,1,1,4,1,1,1,0,6,7,3,0,8869,,,,,,,,,,,,,,7423,2,1,1,1,1,1,1,1,0,0,8,3,0,5033,2,1,2,1,1,1,1,1,0,0,6,2,2
523,,,,,,,,,,,,,,6742,,,,,,,,,,,,,,,3276,,,,,,,,,,,,,,8551,5,5,5,4,3,5,3,1,0,5,8,6,0,7473,4,4,6,1,5,5,5,1,0,5,3,6,0,5033,3,3,3,2,2,7,7,4,0,6,5,5,0
736,4,3,2,3,2,1,1,2,0,3,7,4,4,3621,4,1,1,1,2,1,2,2,50,1,7,4,3,0,5994,2,1,1,1,4,2,2,3,0,1,9,5,4,1685,1,1,1,1,5,3,3,2,0,5,7,5,4,6491,,,,,,,,,,,,,,4735,,,,,,,,,,,,,
736,,,,,,,,,,,,,,4149,4,1,1,1,5,2,2,3,0,0,4,2,3,0,713,1,1,1,1,4,4,4,2,0,0,6,2,4,1780,5,1,1,3,5,6,4,1,0,0,8,5,4,1284,6,4,1,1,5,6,5,2,0,0,6,5,0,7731,6,1,1,3,5,5,5,2,0,0,4,5,4
677,,,,,,,,,,,,,,2668,,,,,,,,,,,,,,,126,,,,,,,,,,,,,,964,6,5,1,2,4,5,3,2,40,1,7,5,5,1865,6,5,2,1,6,2,3,2,0,1,7,5,5,2839,6,6,1,2,6,1,1,2,0,1,7,5,3
677,,,,,,,,,,,,,,2668,,,,,,,,,,,,,,,126,,,,,,,,,,,,,,964,,,,,,,,,,,,,,1865,6,3,2,2,2,4,2,1,0,2,8,4,2,2839,6,2,1,1,4,5,4,1,0,1,8,1,2
5647,6,1,1,1,4,2,2,1,40,1,7,4,3,1047,6,6,3,1,1,1,1,2,0,0,7,2,2,2,7651,,,,,,,,,,,,,,2272,,,,,,,,,,,,,,0,,,,,,,,,,,,,,1099,,,,,,,,,,,,,
1321,,,,,,,,,,,,,,940,,,,,,,,,,,,,,,3582,,,,,,,,,,,,,,395,,,,,,,,,,,,,,5977,3,1,1,1,3,4,7,2,0,5,7,5,2,879,5,4,1,5,2,2,1,2,0,5,9,5,1
1321,,,,,,,,,,,,,,940,,,,,,,,,,,,,,,3582,,,,,,,,,,,,,,395,,,,,,,,,,,,,,5977,,,,,,,,,,,,,,879,4,1,1,3,4,5,2,2,25,3,8,5,4
5937,,,,,,,,,,,,,,7955,,,,,,,,,,,,,,,5016,,,,,,,,,,,,,,2916,,,,,,,,,,,,,,7557,,,,,,,,,,,,,,5223,3,4,2,4,2,2,2,2,40,0,7,2,0
1057,,,,,,,,,,,,,,293,,,,,,,,,,,,,,,3155,,,,,,,,,,,,,,365,,,,,,,,,,,,,,3172,4,2,1,2,4,3,2,3,0,6,8,5,0,30,5,4,1,1,3,3,3,3,0,5,8,5,0
4407,,,,,,,,,,,,,,2585,3,5,1,4,3,1,1,1,20,3,8,5,1,6,907,5,1,1,4,3,1,1,1,0,6,7,4,0,1751,5,2,1,1,4,2,2,3,0,6,8,2,2,1231,5,1,1,1,1,1,1,3,0,6,8,5,4,669,4,1,2,4,1,1,1,1,50,6,8,4,3
3752,,,,,,,,,,,,,,2831,,,,,,,,,,,,,,,962,6,4,2,3,3,2,2,2,0,6,8,5,0,841,6,6,5,3,1,4,2,1,0,6,8,5,0,759,6,3,4,4,2,2,3,1,20,6,8,5,0,5337,6,3,4,3,2,2,2,1,0,6,6,5,0
3548,,,,,,,,,,,,,,5288,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,5984,5,5,1,1,4,2,1,1,0,1,9,4,0,1415,3,7,7,7,5,1,2,1,0,0,6,5,3,1342,4,1,2,2,3,1,1,1,50,0,5,6,1
1269,,,,,,,,,,,,,,1214,,,,,,,,,,,,,,,2941,,,,,,,,,,,,,,863,,,,,,,,,,,,,,4968,6,3,2,1,1,3,2,2,0,6,7,2,3,5050,6,5,2,1,1,3,2,2,0,6,8,5,3
6203,,,,,,,,,,,,,,3462,,,,,,,,,,,,,,,6236,6,1,1,6,3,4,3,2,0,0,8,2,2,7750,5,1,1,5,3,3,3,2,0,0,7,2,3,2896,5,1,2,1,3,2,2,2,0,0,6,2,2,8954,,,,,,,,,,,,,
7826,,,,,,,,,,,,,,2199,,,,,,,,,,,,,,,1105,,,,,,,,,,,,,,290,6,4,3,2,2,2,1,1,80,1,6,2,3,3380,,,,,,,,,,,,,,7541,6,5,5,5,2,3,2,1,0,1,7,2,4
7660,,,,,,,,,,,,,,732,,,,,,,,,,,,,,,8287,,,,,,,,,,,,,,3559,,,,,,,,,,,,,,6418,3,4,2,1,5,3,1,2,0,2,10,5,3,0,,,,,,,,,,,,,
3253,,,,,,,,,,,,,,751,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,2720,3,1,3,1,1,5,3,1,0,1,8,4,3,2753,3,7,7,3,1,1,1,3,0,1,8,4,4,51,,,,,,,,,,,,,
0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,1285,,,,,,,,,,,,,,4511,5,2,4,2,4,5,2,1,0,0,8,2,0,523,6,1,2,1,3,1,1,1,0,0,8,2,1
4943,,,,,,,,,,,,,,5584,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,3584,,,,,,,,,,,,,,4255,,,,,,,,,,,,,,7404,6,1,3,1,1,1,1,1,0,0,6,2,0
2516,3,3,1,3,4,5,2,1,0,3,8,2,0,2554,3,3,1,2,6,4,2,1,0,0,5,4,0,6,2699,5,1,2,1,3,1,1,1,0,0,6,5,0,3153,6,3,2,1,2,2,1,1,0,0,8,4,0,1841,,,,,,,,,,,,,,6374,,,,,,,,,,,,,
1523,,,,,,,,,,,,,,3357,6,4,2,2,2,4,2,3,2,2,9,5,1,3,2260,5,3,1,1,4,5,2,3,0,2,8,5,2,1206,4,2,2,1,3,5,2,2,0,3,7,5,4,2030,3,7,2,2,3,6,5,2,35,3,7,5,4,8891,3,1,2,1,6,4,4,2,40,0,8,5,4
2516,,,,,,,,,,,,,,1528,,,,,,,,,,,,,,,3510,5,2,4,4,5,5,4,1,0,1,7,6,0,337,6,4,1,4,4,5,5,1,0,3,9,5,0,869,6,2,1,3,4,5,3,1,0,5,7,5,0,1840,3,2,2,4,5,5,4,1,0,0,7,5,0
5476,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,8718,5,4,1,3,5,6,3,2,0,0,8,5,2,2860,6,5,1,1,5,3,2,2,0,0,8,5,2,4606,5,3,1,1,2,3,3,2,0,0,8,2,4,1729,4,1,2,1,4,5,3,1,40,0,8,2,4
5476,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,5369,,,,,,,,,,,,,,2137,3,1,1,3,5,5,3,1,20,1,8,5,1,3521,2,3,1,4,4,4,2,2,0,2,8,5,4,7143,5,4,1,4,4,3,2,2,0,2,8,4,4
1523,,,,,,,,,,,,,,3357,,,,,,,,,,,,,,,2260,,,,,,,,,,,,,,1206,,,,,,,,,,,,,,2030,,,,,,,,,,,,,,7543,5,4,2,1,1,3,1,1,0,1,10,5,0
1910,,,,,,,,,,,,,,2180,,,,,,,,,,,,,,,5381,,,,,,,,,,,,,,567,,,,,,,,,,,,,,2002,,,,,,,,,,,,,,843,3,3,1,2,4,4,3,2,25,4,6,5,0
5103,,,,,,,,,,,,,,181,4,5,1,1,2,2,2,2,0,2,7,3,1,3,1911,5,4,2,1,2,2,2,1,0,2,6,2,2,6025,5,4,1,1,4,3,2,2,0,2,6,5,4,1140,4,4,1,2,4,3,3,3,0,5,6,4,3,8703,6,4,1,1,4,3,3,2,0,5,6,4,4
5103,,,,,,,,,,,,,,181,,,,,,,,,,,,,,,1911,3,2,1,2,4,5,2,2,0,5,6,4,3,6025,2,3,1,4,7,6,3,2,0,1,6,5,3,1140,3,4,1,5,5,4,4,3,33,3,6,2,2,1191,4,1,2,4,5,4,3,2,20,6,7,2,0
3963,,,,,,,,,,,,,,514,,,,,,,,,,,,,,,2992,,,,,,,,,,,,,,5981,6,3,1,3,2,2,1,2,0,2,8,6,0,3227,5,5,1,3,4,5,5,2,18,2,7,6,1,3555,5,5,1,2,2,2,1,2,25,3,6,6,3
116,,,,,,,,,,,,,,1546,,,,,,,,,,,,,,,8443,4,1,3,3,6,3,2,1,0,0,6,4,3,2839,6,1,2,3,5,5,2,2,0,0,4,4,3,4566,5,1,2,1,4,6,3,5,0,1,6,4,3,7034,4,7,1,2,4,1,1,5,0,0,8,4,3
1392,6,4,1,1,3,1,1,0,10,5,8,4,0,2241,6,5,1,1,3,1,2,0,20,5,7,4,0,5,460,5,5,1,1,2,2,2,0,0,5,7,4,1,3293,5,4,1,1,2,3,1,0,0,0,6,3,0,3481,,,,,,,,,,,,,,945,,,,,,,,,,,,,
1616,3,4,7,7,4,1,1,1,20,6,7,6,0,2433,6,1,2,1,6,2,1,1,24,6,6,2,1,2,7020,5,7,1,1,5,1,2,1,0,0,5,4,2,8356,3,1,7,7,6,5,4,1,0,0,6,2,2,7449,6,2,7,3,6,5,2,1,0,0,6,4,2,6437,,,,,,,,,,,,,
2748,,,,,,,,,,,,,,3802,2,7,7,2,5,3,1,1,999,1,6,5,4,2,4630,3,1,1,5,4,5,3,1,0,0,4,5,0,1271,6,5,7,5,1,1,6,2,0,0,4,6,5,7198,,,,,,,,,,,,,,0,,,,,,,,,,,,,
2748,,,,,,,,,,,,,,6218,,,,,,,,,,,,,,,3923,4,1,2,2,5,1,2,2,0,1,5,6,0,6996,3,1,1,3,6,5,3,2,0,0,7,6,1,3988,6,4,2,6,7,5,2,3,0,0,10,6,1,3591,3,1,1,4,6,5,2,2,62,0,6,4,2
5667,,,,,,,,,,,,,,3656,,,,,,,,,,,,,,,2193,,,,,,,,,,,,,,1948,6,5,1,1,2,2,1,1,0,5,6,2,0,3340,6,6,2,2,2,2,1,1,0,4,6,2,1,673,6,1,1,1,2,2,1,1,26,0,8,2,2
954,,,,,,,,,,,,,,3677,,,,,,,,,,,,,,,2081,,,,,,,,,,,,,,1286,1,2,1,4,2,1,1,2,0,3,9,2,0,3501,6,7,3,7,1,1,1,2,0,1,6,6,1,828,,,,,,,,,,,,,
4017,,,,,,,,,,,,,,6574,,,,,,,,,,,,,,,7314,,,,,,,,,,,,,,5768,,,,,,,,,,,,,,2439,,,,,,,,,,,,,,2009,1,1,7,5,3,3,3,2,0,2,8,2,0
7945,,,,,,,,,,,,,,7981,,,,,,,,,,,,,,,8519,5,4,1,1,7,7,6,1,0,3,6,6,0,5844,6,4,1,1,7,7,6,1,0,0,6,6,0,5723,6,3,1,1,7,7,7,1,0,0,7,4,3,0,,,,,,,,,,,,,
3530,,,,,,,,,,,,,,7031,5,3,1,4,7,1,2,1,30,1,12,2,4,6,4395,6,4,3,1,5,6,7,1,0,1,10,5,3,5470,4,2,4,1,5,3,3,1,0,0,12,5,1,2120,6,1,4,1,5,1,3,1,0,0,10,5,1,1465,5,1,3,1,5,5,3,1,0,0,9,5,1
3530,,,,,,,,,,,,,,7031,,,,,,,,,,,,,,,4395,,,,,,,,,,,,,,3553,4,3,7,2,3,3,2,1,0,4,8,6,0,5034,3,2,1,6,2,2,2,1,0,5,7,5,1,2159,5,1,2,3,2,2,2,1,0,5,6,5,2
824,,,,,,,,,,,,,,5098,,,,,,,,,,,,,,,6857,,,,,,,,,,,,,,6437,,,,,,,,,,,,,,7127,,,,,,,,,,,,,,7422,6,6,2,1,5,2,3,2,0,2,8,5,2
1799,,,,,,,,,,,,,,546,,,,,,,,,,,,,,,927,,,,,,,,,,,,,,4679,6,2,2,7,6,7,6,1,0,1,8,5,0,2636,6,1,4,1,4,3,2,1,0,3,6,5,0,3686,5,3,1,1,5,5,3,5,25,2,8,5,0
6520,5,5,1,7,7,5,3,3,0,1,6,4,3,1548,6,5,1,1,2,6,5,4,25,4,7,4,3,0,4308,6,1,1,2,4,3,3,2,0,0,7,6,4,8878,3,4,1,1,3,2,2,2,0,0,8,5,1,4001,6,1,1,1,3,4,2,1,0,0,7,6,0,6607,,,,,,,,,,,,,
424,,,,,,,,,,,,,,632,5,2,7,2,3,2,4,3,0,4,11,5,0,1,2105,7,5,5,3,2,1,1,3,0,2,10,5,5,141,2,1,7,3,4,5,4,2,0,2,10,6,5,517,5,1,1,2,3,5,6,2,0,2,7,6,4,339,6,7,7,5,5,6,5,2,0,1,6,6,4
1815,,,,,,,,,,,,,,7518,,,,,,,,,,,,,,,3457,,,,,,,,,,,,,,7572,,,,,,,,,,,,,,8436,4,1,3,3,5,3,3,1,0,6,12,5,1,6636,2,1,2,1,5,6,5,2,0,6,10,4,1
3411,4,4,2,2,3,1,2,2,60,1,6,4,3,7536,5,2,2,1,5,2,2,1,0,0,8,2,3,3,5174,5,1,2,1,3,3,2,2,0,0,8,2,1,2638,6,7,2,1,3,3,3,1,0,0,6,1,4,1552,6,5,2,1,3,2,2,1,0,0,6,2,4,857,,,,,,,,,,,,,
3411,,,,,,,,,,,,,,7536,,,,,,,,,,,,,,,5174,6,7,2,1,5,3,1,3,0,1,8,2,3,2638,,,,,,,,,,,,,,9056,,,,,,,,,,,,,,0,,,,,,,,,,,,,
4527,5,1,1,7,2,3,1,2,0,1,98,4,1,4627,6,2,1,7,4,1,1,2,10,3,6,5,3,3,5106,5,3,1,7,2,4,2,2,0,0,6,1,3,5828,4,7,1,7,2,3,1,2,0,0,7,4,2,5408,3,7,1,1,2,3,2,1,0,0,7,2,3,4419,,,,,,,,,,,,,
639,,,,,,,,,,,,,,3468,,,,,,,,,,,,,,,8072,,,,,,,,,,,,,,5312,,,,,,,,,,,,,,8186,,,,,,,,,,,,,,8803,5,3,2,5,3,1,2,1,0,1,9,4,2
7877,,,,,,,,,,,,,,4197,,,,,,,,,,,,,,,8676,5,5,3,7,5,5,2,1,998,3,8,4,5,5370,6,4,2,7,5,6,3,2,8,1,8,2,4,7090,6,2,2,2,4,6,3,1,30,1,7,2,5,385,6,7,2,7,3,6,2,1,38,1,7,2,4
1470,,,,,,,,,,,,,,1347,,,,,,,,,,,,,,,441,,,,,,,,,,,,,,4573,1,3,1,1,2,5,2,2,40,1,9,3,0,6690,2,3,1,1,2,2,2,1,40,1,8,1,2,342,1,1,1,1,4,2,1,1,0,1,7,3,4
1470,,,,,,,,,,,,,,1347,,,,,,,,,,,,,,,441,,,,,,,,,,,,,,4573,,,,,,,,,,,,,,6690,,,,,,,,,,,,,,342,6,3,2,3,5,1,1,2,0,1,8,4,0
161,6,2,2,1,1,2,1,1,42,1,7,4,3,117,,,,,,,,,,,,,,,1522,,,,,,,,,,,,,,2882,,,,,,,,,,,,,,862,,,,,,,,,,,,,,890,,,,,,,,,,,,,
161,,,,,,,,,,,,,,117,,,,,,,,,,,,,,,1522,6,1,1,1,1,1,1,1,0,1,8,6,0,2882,6,3,1,5,1,5,5,1,0,2,10,6,4,862,6,2,2,2,1,2,2,1,0,6,10,3,2,890,6,2,1,2,3,4,1,1,0,6,8,2,2
6207,,,,,,,,,,,,,,2888,,,,,,,,,,,,,,,1258,,,,,,,,,,,,,,2434,,,,,,,,,,,,,,94,5,1,3,4,1,3,2,1,0,1,8,5,0,7788,5,1,3,5,3,1,2,1,0,0,8,6,1
6207,,,,,,,,,,,,,,2888,,,,,,,,,,,,,,,1258,,,,,,,,,,,,,,2434,,,,,,,,,,,,,,94,,,,,,,,,,,,,,7841,6,1,2,6,7,7,7,2,16,5,10,5,0
3196,,,,,,,,,,,,,,1562,,,,,,,,,,,,,,,7489,1,1,1,2,7,6,7,1,0,0,6,5,2,8303,1,1,1,2,6,7,6,2,0,0,6,5,0,5730,3,3,7,3,7,5,6,1,0,0,6,5,4,5341,,,,,,,,,,,,,
6987,,,,,,,,,,,,,,3466,,,,,,,,,,,,,,,2646,,,,,,,,,,,,,,6792,4,6,3,5,5,7,4,1,0,1,8,6,2,4115,5,4,1,3,5,1,4,1,82,1,8,2,4,62,6,2,7,4,6,6,2,1,42,2,8,4,2
6987,,,,,,,,,,,,,,3466,,,,,,,,,,,,,,,6090,4,3,2,3,2,3,2,3,40,1,4,5,1,3960,3,1,1,3,1,4,4,4,0,1,6,6,1,5058,5,1,4,5,1,3,3,2,0,0,6,6,1,4012,4,5,2,5,1,4,2,4,48,0,4,6,1
2064,6,7,1,5,6,7,7,2,48,1,6,5,4,1023,4,1,7,3,6,5,4,1,40,1,6,6,1,0,883,4,1,1,3,6,7,6,1,0,3,8,4,3,3002,1,1,1,2,7,6,6,2,50,5,9,2,0,1104,,,,,,,,,,,,,,908,,,,,,,,,,,,,
7653,5,1,1,1,2,5,3,2,0,0,9,2,0,3536,6,1,1,4,3,3,2,2,0,0,8,2,0,0,7647,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,
3695,,,,,,,,,,,,,,915,,,,,,,,,,,,,,,1310,,,,,,,,,,,,,,2604,,,,,,,,,,,,,,4381,4,4,3,3,6,7,7,1,0,1,8,5,0,8759,3,1,2,2,6,7,7,2,0,3,8,6,2
3695,,,,,,,,,,,,,,915,,,,,,,,,,,,,,,1310,,,,,,,,,,,,,,2604,,,,,,,,,,,,,,4381,3,3,1,3,4,3,5,1,0,1,6,4,0,8759,5,1,1,4,2,6,5,2,0,5,4,4,0
